可支配收入,消费性支出
15637.84,12200.4
11467.16,8802.44
7951.31,5819.18
7902.86,5654.15
8122.99,6219.26
8007.56,6543.28
7840.61,6068.99
7470.71,5567.53
16682.82,12631.03
10481.93,7332.26
14546.38,10636.14
7511.43,5711.33
11175.37,8161.15
7559.64,5337.84
9437.8,6673.75
7704.9,5294.19
8022.75,6398.52
8617.48,6884.61
13627.65,10694.79
8689.99,6445.73
7735.78,5802.4
9220.96,7973.05
7709.87,6371.14
7322.05,5494.45
8870.88,6837.01
9106.07,8338.21
7492.47,6233.07
7376.74,5937.3
7319.67,5758.95
7217.87,5821.38
7503.42,5773.62
